epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.41973,1.81076,3.65321,1.54054,0.27142,0.2313,0.15222,0.06877,1.79174,3.87416,1.77251,0.000658333,0.000658333,0.000658333
2,17.2701,1.78696,2.96433,1.59038,0.18393,0.23077,0.12786,0.05391,2.01961,3.54936,1.98089,0.00131188,0.00131188,0.00131188
3,24.8498,1.79018,2.66761,1.65454,0.22489,0.17308,0.11022,0.04661,2.22296,2.88019,2.10355,0.00195223,0.00195223,0.00195223
4,32.3837,1.82858,2.45909,1.66702,0.21825,0.27747,0.1641,0.06188,1.93842,6.27238,1.97158,0.0019406,0.0019406,0.0019406
5,39.8008,1.79425,2.32133,1.65155,0.21242,0.20879,0.13204,0.04563,2.0729,2.98793,1.91294,0.0019208,0.0019208,0.0019208
6,47.2709,1.71418,2.20043,1.60729,0.23875,0.12363,0.10703,0.04593,2.05252,5.33288,2.00739,0.001901,0.001901,0.001901
7,54.712,1.72571,2.18243,1.61466,0.28194,0.27473,0.20861,0.09082,1.77482,2.42269,1.71751,0.0018812,0.0018812,0.0018812
8,62.0834,1.68666,2.1115,1.54908,0.35968,0.35165,0.26554,0.13179,1.74443,2.13603,1.6695,0.0018614,0.0018614,0.0018614
9,69.5278,1.67537,2.06343,1.52899,0.26836,0.41484,0.27345,0.13809,1.63509,2.18596,1.5983,0.0018416,0.0018416,0.0018416
10,76.9771,1.57937,1.97446,1.47491,0.36959,0.46225,0.35605,0.17905,1.63823,1.95327,1.53571,0.0018218,0.0018218,0.0018218
11,84.4309,1.60177,1.97427,1.49122,0.29302,0.38736,0.29877,0.15049,1.66434,2.13286,1.69958,0.001802,0.001802,0.001802
12,91.994,1.58417,1.94116,1.47109,0.3459,0.40385,0.31681,0.16019,1.57257,2.15702,1.54521,0.0017822,0.0017822,0.0017822
13,99.4863,1.55575,1.9063,1.44845,0.25976,0.46429,0.27928,0.15003,1.52334,2.00621,1.47831,0.0017624,0.0017624,0.0017624
14,107.08,1.54086,1.87319,1.43563,0.38409,0.41758,0.39655,0.20165,1.53725,1.8973,1.47177,0.0017426,0.0017426,0.0017426
15,114.571,1.5372,1.84189,1.43046,0.39046,0.46154,0.37218,0.19871,1.51591,1.8715,1.48016,0.0017228,0.0017228,0.0017228
16,122.051,1.4714,1.81853,1.39155,0.4226,0.53284,0.42032,0.21468,1.55721,1.76215,1.51289,0.001703,0.001703,0.001703
17,129.59,1.52045,1.79266,1.40777,0.41633,0.47802,0.39338,0.19587,1.5953,1.88148,1.51374,0.0016832,0.0016832,0.0016832
18,137.124,1.46709,1.74868,1.38178,0.41066,0.49725,0.44172,0.235,1.49563,1.81011,1.44786,0.0016634,0.0016634,0.0016634
19,144.626,1.47896,1.78643,1.38898,0.38336,0.46798,0.40599,0.22538,1.47898,1.74583,1.4331,0.0016436,0.0016436,0.0016436
20,152.057,1.47619,1.7357,1.36848,0.50301,0.58516,0.50071,0.26252,1.50018,1.66548,1.41867,0.0016238,0.0016238,0.0016238
21,159.532,1.46518,1.71633,1.38582,0.43237,0.51648,0.44048,0.23606,1.45824,1.75656,1.4131,0.001604,0.001604,0.001604
22,166.978,1.43875,1.64143,1.35571,0.45941,0.52747,0.49546,0.26065,1.45082,1.8347,1.41196,0.0015842,0.0015842,0.0015842
23,174.443,1.40718,1.65851,1.3373,0.43878,0.48626,0.42284,0.24328,1.45901,1.86096,1.39743,0.0015644,0.0015644,0.0015644
24,181.854,1.42449,1.69165,1.34608,0.4024,0.53022,0.43041,0.24927,1.42226,1.69636,1.38384,0.0015446,0.0015446,0.0015446
25,189.303,1.40829,1.64766,1.32659,0.44365,0.5989,0.48791,0.24803,1.52519,1.66834,1.46225,0.0015248,0.0015248,0.0015248
26,196.831,1.39618,1.65106,1.32857,0.42093,0.47527,0.43984,0.2543,1.48822,1.81453,1.42922,0.001505,0.001505,0.001505
27,204.31,1.41296,1.62871,1.31585,0.51351,0.60989,0.54856,0.31423,1.43918,1.5495,1.37476,0.0014852,0.0014852,0.0014852
28,211.891,1.38659,1.60802,1.32614,0.48277,0.57692,0.52868,0.29156,1.42586,1.70486,1.41588,0.0014654,0.0014654,0.0014654
29,219.498,1.37853,1.62634,1.31722,0.52014,0.53846,0.51383,0.28526,1.409,1.59962,1.37782,0.0014456,0.0014456,0.0014456
30,227.06,1.37795,1.59826,1.32108,0.56597,0.56593,0.53539,0.29721,1.384,1.56887,1.36988,0.0014258,0.0014258,0.0014258
31,234.565,1.35067,1.57789,1.31517,0.5042,0.5467,0.49139,0.26757,1.4761,1.62928,1.42027,0.001406,0.001406,0.001406
32,242.182,1.34136,1.54351,1.28856,0.49413,0.54207,0.5514,0.32468,1.35548,1.50737,1.35362,0.0013862,0.0013862,0.0013862
33,249.685,1.34385,1.54622,1.28679,0.5009,0.61538,0.53017,0.29558,1.37471,1.62816,1.33883,0.0013664,0.0013664,0.0013664
34,257.268,1.3454,1.55081,1.28455,0.53181,0.52113,0.49986,0.28157,1.35903,1.55012,1.33766,0.0013466,0.0013466,0.0013466
35,265.135,1.33191,1.51485,1.2755,0.49598,0.56319,0.52857,0.31334,1.35047,1.50903,1.33385,0.0013268,0.0013268,0.0013268
36,272.794,1.34219,1.51993,1.30075,0.56935,0.61538,0.60656,0.36089,1.34386,1.44358,1.32232,0.001307,0.001307,0.001307
37,280.338,1.32266,1.49264,1.27459,0.51711,0.58791,0.56075,0.32524,1.36752,1.48672,1.33103,0.0012872,0.0012872,0.0012872
38,287.975,1.31332,1.49428,1.26783,0.48747,0.63187,0.53144,0.31112,1.35511,1.53299,1.31356,0.0012674,0.0012674,0.0012674
39,298.115,1.34196,1.53895,1.27172,0.51743,0.5467,0.52788,0.3059,1.35791,1.53797,1.34644,0.0012476,0.0012476,0.0012476
40,305.878,1.32419,1.50574,1.28429,0.55996,0.57684,0.58563,0.34614,1.37224,1.49948,1.34641,0.0012278,0.0012278,0.0012278
41,313.468,1.26993,1.46596,1.24741,0.60808,0.59248,0.60679,0.35613,1.36269,1.45226,1.33493,0.001208,0.001208,0.001208
42,320.963,1.32652,1.44815,1.26484,0.54846,0.6044,0.6052,0.34774,1.38254,1.48333,1.31735,0.0011882,0.0011882,0.0011882
43,328.713,1.28524,1.47085,1.24007,0.52374,0.5861,0.55839,0.31687,1.35608,1.52966,1.31717,0.0011684,0.0011684,0.0011684
44,336.612,1.28868,1.41342,1.23647,0.58133,0.61813,0.61969,0.35819,1.36303,1.41369,1.30538,0.0011486,0.0011486,0.0011486
45,344.411,1.26989,1.39546,1.24104,0.56481,0.56593,0.57828,0.33348,1.33346,1.478,1.31369,0.0011288,0.0011288,0.0011288
46,352.093,1.29384,1.43272,1.25219,0.5706,0.57692,0.60413,0.35921,1.31834,1.45071,1.29384,0.001109,0.001109,0.001109
47,359.93,1.27527,1.37323,1.22599,0.61083,0.59066,0.61969,0.36695,1.32875,1.40211,1.3023,0.0010892,0.0010892,0.0010892
48,367.537,1.24952,1.37835,1.2282,0.58576,0.5989,0.61886,0.37997,1.29679,1.39174,1.28416,0.0010694,0.0010694,0.0010694
49,375.13,1.25134,1.40789,1.23328,0.57137,0.64835,0.63464,0.37709,1.28212,1.38203,1.276,0.0010496,0.0010496,0.0010496
50,382.825,1.26474,1.36667,1.21507,0.61346,0.57692,0.62207,0.3741,1.31368,1.40956,1.29498,0.0010298,0.0010298,0.0010298
51,390.398,1.25983,1.3999,1.23074,0.63983,0.60165,0.60291,0.37106,1.27086,1.39394,1.28105,0.00101,0.00101,0.00101
52,397.857,1.22333,1.32613,1.22251,0.54584,0.62363,0.57956,0.3367,1.28791,1.48602,1.27292,0.0009902,0.0009902,0.0009902
53,405.413,1.26342,1.40472,1.24055,0.61632,0.59066,0.62091,0.37965,1.31818,1.36563,1.30486,0.0009704,0.0009704,0.0009704
54,413.051,1.21731,1.3101,1.20316,0.60438,0.63187,0.62961,0.37909,1.30622,1.37796,1.28837,0.0009506,0.0009506,0.0009506
55,420.559,1.21953,1.30852,1.19629,0.57915,0.63187,0.62802,0.38229,1.28785,1.34046,1.29249,0.0009308,0.0009308,0.0009308
56,428.069,1.23885,1.31844,1.20143,0.59346,0.62637,0.6312,0.38838,1.31426,1.37566,1.27412,0.000911,0.000911,0.000911
57,435.579,1.20741,1.29137,1.20524,0.61153,0.6044,0.60576,0.36771,1.32345,1.37733,1.27976,0.0008912,0.0008912,0.0008912
58,443.116,1.21522,1.31084,1.20264,0.57966,0.66484,0.63335,0.39577,1.24909,1.34821,1.24989,0.0008714,0.0008714,0.0008714
59,450.668,1.19948,1.2813,1.19475,0.60273,0.6252,0.64951,0.38753,1.28786,1.35441,1.2816,0.0008516,0.0008516,0.0008516
60,458.193,1.20397,1.27382,1.18831,0.62938,0.65934,0.67904,0.41666,1.29817,1.30619,1.27117,0.0008318,0.0008318,0.0008318
61,465.786,1.16979,1.2383,1.17312,0.5834,0.60714,0.62869,0.38857,1.26625,1.35856,1.26422,0.000812,0.000812,0.000812
62,473.277,1.20207,1.22093,1.18238,0.57794,0.63187,0.64568,0.38806,1.29288,1.34832,1.28484,0.0007922,0.0007922,0.0007922
63,480.792,1.20494,1.28283,1.18434,0.59285,0.62637,0.61713,0.37353,1.34712,1.39139,1.31508,0.0007724,0.0007724,0.0007724
64,488.377,1.19186,1.26334,1.18251,0.65532,0.6529,0.64821,0.39917,1.27216,1.35561,1.23411,0.0007526,0.0007526,0.0007526
65,495.874,1.18186,1.21561,1.17476,0.69109,0.67609,0.6822,0.41669,1.2448,1.28035,1.25578,0.0007328,0.0007328,0.0007328
66,503.439,1.16835,1.20482,1.17311,0.63267,0.64835,0.66648,0.40433,1.29398,1.28443,1.28044,0.000713,0.000713,0.000713
67,510.948,1.14252,1.19312,1.15424,0.62755,0.65268,0.65753,0.41541,1.27531,1.28501,1.26677,0.0006932,0.0006932,0.0006932
68,518.401,1.15881,1.21543,1.15984,0.66147,0.67308,0.69355,0.42596,1.25764,1.2395,1.25636,0.0006734,0.0006734,0.0006734
69,525.874,1.14931,1.1732,1.16474,0.59612,0.6456,0.65801,0.41073,1.24574,1.2993,1.24851,0.0006536,0.0006536,0.0006536
70,533.359,1.16041,1.16357,1.15356,0.66796,0.62637,0.66581,0.4148,1.27819,1.25727,1.25298,0.0006338,0.0006338,0.0006338
71,540.911,1.13902,1.19325,1.14765,0.67098,0.6511,0.67771,0.41445,1.28974,1.29874,1.27835,0.000614,0.000614,0.000614
72,548.446,1.14211,1.16428,1.1503,0.6002,0.68462,0.66776,0.41839,1.23395,1.26108,1.23188,0.0005942,0.0005942,0.0005942
73,555.972,1.15791,1.18629,1.16365,0.66504,0.63736,0.68209,0.41377,1.28478,1.26358,1.25191,0.0005744,0.0005744,0.0005744
74,563.522,1.13386,1.15915,1.14639,0.66381,0.66723,0.70347,0.42885,1.2951,1.25736,1.26848,0.0005546,0.0005546,0.0005546
75,571.123,1.14289,1.14333,1.145,0.70924,0.63187,0.68766,0.42711,1.28771,1.25297,1.26829,0.0005348,0.0005348,0.0005348
76,578.675,1.13443,1.12451,1.14834,0.65986,0.69283,0.68947,0.43191,1.26839,1.22315,1.24518,0.000515,0.000515,0.000515
77,586.175,1.12279,1.13736,1.15668,0.63547,0.67857,0.68071,0.42455,1.23932,1.28415,1.22179,0.0004952,0.0004952,0.0004952
78,593.76,1.13494,1.13367,1.14525,0.62918,0.68522,0.68824,0.42236,1.2879,1.26507,1.26104,0.0004754,0.0004754,0.0004754
79,601.311,1.10376,1.13416,1.12539,0.6695,0.71233,0.7006,0.43063,1.26466,1.21251,1.25351,0.0004556,0.0004556,0.0004556
80,608.914,1.10394,1.0934,1.14076,0.69065,0.65629,0.71464,0.45026,1.23088,1.19581,1.22543,0.0004358,0.0004358,0.0004358
81,616.451,1.07804,1.06099,1.13006,0.7167,0.66209,0.7176,0.45137,1.24414,1.20704,1.24232,0.000416,0.000416,0.000416
82,624.1,1.0807,1.0811,1.13616,0.68364,0.70879,0.71725,0.45402,1.25309,1.19379,1.24543,0.0003962,0.0003962,0.0003962
83,631.685,1.0963,1.08312,1.13478,0.68755,0.6456,0.70146,0.43435,1.27542,1.22571,1.25417,0.0003764,0.0003764,0.0003764
84,639.209,1.11008,1.0916,1.136,0.6453,0.68956,0.7059,0.44264,1.25895,1.18756,1.25128,0.0003566,0.0003566,0.0003566
85,646.745,1.11207,1.07831,1.13886,0.70367,0.62363,0.70094,0.45091,1.2362,1.18017,1.26166,0.0003368,0.0003368,0.0003368
86,654.328,1.07937,1.05085,1.12278,0.69565,0.66209,0.71188,0.4469,1.24301,1.19493,1.24482,0.000317,0.000317,0.000317
87,661.856,1.06251,1.03795,1.10994,0.60635,0.72527,0.69672,0.42453,1.28273,1.21931,1.26364,0.0002972,0.0002972,0.0002972
88,669.426,1.0634,1.03396,1.10395,0.63954,0.7165,0.71259,0.44486,1.23738,1.20445,1.24701,0.0002774,0.0002774,0.0002774
89,677.138,1.04463,0.99519,1.10245,0.68813,0.67285,0.70742,0.44528,1.2423,1.19418,1.23854,0.0002576,0.0002576,0.0002576
90,684.722,1.04674,1.01347,1.09897,0.64599,0.71687,0.70878,0.44933,1.23006,1.18359,1.23252,0.0002378,0.0002378,0.0002378
91,707.035,1.00588,0.93541,1.07805,0.69482,0.7033,0.72851,0.45414,1.25997,1.14747,1.24927,0.000218,0.000218,0.000218
92,714.547,0.99045,0.90042,1.07473,0.72621,0.67033,0.72341,0.45669,1.25545,1.15,1.25161,0.0001982,0.0001982,0.0001982
